stt,material,material_description,dvt,ton_dau_ky,nhap_trong_ky,xuat_tra_lai,chuyen_mdsd,xuat_sx,xuat_khac,ton_cuoi_ky,ghi_chu
996,1000347292,連接臂;;φ50.8x2.0Tx1300L;右;;;EP591;,EA,0.0,20.0,0.0,0.0,0.0,0.0,20.0,
997,1000347293,連接片;連接臂;後;SPHC;132x90x57x4.0T;;EP591;,EA,0.0,1440.0,0.0,0.0,0.0,0.0,1440.0,
998,1000347294,連接片;連接臂;前;SPHC;45x72x92x5.0T;;EP591;,EA,0.0,1440.0,0.0,0.0,0.0,0.0,1440.0,
999,1000347295,固定柱;連接臂;後;20#;塗防鏽油;EP591;Φ20x50L;,EA,0.0,1440.0,0.0,0.0,0.0,0.0,1440.0,
1000,1000347296,護蓋;扶手;後;ABS/PA757;Q520-7-3;;EP591;,EA,0.0,1160.0,0.0,0.0,0.0,0.0,1160.0,
1001,1000347301,擺動管;;φ40x80x3.0Tx805L;;;;EP591,EA,0.0,40.0,0.0,0.0,0.0,0.0,40.0,
1002,1000347302,SLEEVE;擺動臂;上;20#;塗防鏽油;EP591;Φ58x65.4L;,EA,0.0,1440.0,0.0,0.0,0.0,0.0,1440.0,
1003,1000347303,心軸;擺動臂;內;45#;塗防鏽油;EP591;Φ25x55.4L;鍍白鋅,EA,0.0,1440.0,0.0,0.0,0.0,0.0,1440.0,
1004,1000347312,軸套;調整臂;;20#;塗防鏽油;EP591;Φ45x56.5L;,EA,0.0,1440.0,0.0,0.0,0.0,0.0,1440.0,
1005,1000347313,心軸;調整臂;;45#;;EP591;Φ25xΦ10.5x57.2L;鍍鋅,EA,0.0,1440.0,0.0,0.0,0.0,0.0,1440.0,
1006,1000347314,襯套;;GFM-2528-11;;;IGUS；EP591,EA,0.0,2080.0,0.0,0.0,0.0,0.0,2080.0,
1007,1000347317,曲柄組;;;焊接;;EP591;,EA,0.0,640.0,0.0,0.0,0.0,0.0,640.0,
1008,1000347320,連接軸;擺臂;後;20#;塗防鏽油;EP591;Φ20x89.5L;,EA,0.0,1440.0,0.0,0.0,0.0,0.0,1440.0,
1009,1000347321,間隔環;擺臂;;45#;;EP591;Φ30.5xΦ25.3x27L;鍍鋅,EA,0.0,640.0,0.0,0.0,0.0,0.0,640.0,
1010,1000347324,側護蓋;;右;ABS/PA757;灰色;;EP591;,EA,0.0,720.0,0.0,0.0,0.0,0.0,720.0,
1011,1000347325,側護蓋;;左;ABS/PA757;灰色;;EP591;,EA,0.0,720.0,0.0,0.0,0.0,0.0,720.0,
1012,1000347326,護蓋;裝飾;前;ABS/PA757;;;EP591;60461亮灰色,EA,0.0,720.0,0.0,0.0,0.0,0.0,720.0,
1013,1000347327,護蓋;裝飾;後;ABS/PA757;Q520-7-3;;EP591;,EA,0.0,720.0,0.0,0.0,0.0,0.0,720.0,
1014,1000347328,遮蓋片;固定;後;ABS/PA757;灰色;;EP591;,EA,0.0,720.0,0.0,0.0,0.0,0.0,720.0,
1015,1000347329,護套;連接管;右;TPE;Q520-7-3;;EP591;,EA,0.0,720.0,0.0,0.0,0.0,0.0,720.0,
1016,1000347331,護套;連接管;右;TPE;Q520-7-3;二;EP591;,EA,0.0,720.0,0.0,0.0,0.0,0.0,720.0,
1017,1000347332,裝飾護蓋;車架;下;ABS/PA757;灰色;80435;EP591;,EA,0.0,720.0,0.0,0.0,0.0,0.0,720.0,
1018,1000347333,側護蓋;側蓋;右;ABS/PA757;灰色;;EP591;,EA,0.0,720.0,0.0,0.0,0.0,0.0,720.0,
1019,1000347334,側護蓋;側蓋;左;ABS/PA757;灰色;;EP591;,EA,0.0,720.0,0.0,0.0,0.0,0.0,720.0,
